                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.74241,                0.41922,                0.97838,                0.98271,                0.96729,                0.99013,                0.86595,                0.56737,                0.26352,                0.86659,               0.008317,               0.008317,               0.008317
                     87,                0.74088,                0.42367,                0.97596,                0.98256,                0.95853,                0.98676,                0.85146,                0.60252,                0.27728,                0.88004,              0.0082972,              0.0082972,              0.0082972
                     88,                0.73597,                0.41644,                 0.9743,                0.98542,                0.96248,                0.98789,                0.86159,                0.57937,                0.26626,                0.86955,              0.0082774,              0.0082774,              0.0082774
                     89,                0.73252,                0.41799,                0.97546,                0.98161,                0.95487,                0.98728,                0.85385,                0.59737,                0.28027,                0.87754,              0.0082576,              0.0082576,              0.0082576
                     90,                0.73173,                0.41342,                0.97373,                0.97486,                0.94732,                0.98243,                0.84241,                0.62356,                0.29789,                0.89161,              0.0082378,              0.0082378,              0.0082378
                     91,                 0.7324,                0.41543,                0.97505,                0.97985,                0.95453,                0.98627,                0.84986,                0.60888,                0.28437,                0.88423,               0.008218,               0.008218,               0.008218
                     92,                0.73439,                0.41458,                0.97619,                0.98383,                0.95588,                0.98617,                0.84862,                  0.615,                0.28207,                0.88534,              0.0081982,              0.0081982,              0.0081982
                     93,                0.73363,                0.41839,                0.97125,                0.98711,                0.96857,                 0.9896,                 0.8672,                0.56848,                 0.2596,                0.86599,              0.0081784,              0.0081784,              0.0081784
                     94,                0.72771,                 0.4127,                0.96902,                0.98796,                0.96902,                0.99101,                0.87078,                0.55676,                0.25496,                0.86096,              0.0081586,              0.0081586,              0.0081586
                     95,                0.72527,                0.41032,                0.97006,                0.98267,                0.95812,                0.98653,                0.85777,                0.58731,                 0.2721,                 0.8748,              0.0081388,              0.0081388,              0.0081388
                     96,                0.72134,                0.40838,                0.96934,                0.98403,                0.96772,                0.99078,                0.87402,                0.55978,                0.25443,                0.86378,               0.008119,               0.008119,               0.008119
                     97,                0.73246,                0.41488,                0.97512,                 0.9889,                0.97208,                0.99089,                0.87595,                0.54223,                0.24761,                0.85535,              0.0080992,              0.0080992,              0.0080992
                     98,                0.72046,                0.40717,                0.96779,                0.97715,                0.96248,                0.98516,                0.85554,                0.58728,                0.27126,                0.87435,              0.0080794,              0.0080794,              0.0080794
                     99,                0.71832,                0.40363,                0.97116,                0.98784,                0.95696,                0.98824,                0.86112,                0.58545,                0.26623,                0.87543,              0.0080596,              0.0080596,              0.0080596
                    100,                0.71519,                0.40458,                0.96952,                0.98349,                0.96185,                0.98788,                0.86318,                0.59095,                0.26393,                0.87604,              0.0080398,              0.0080398,              0.0080398
                    101,                0.72513,                0.40954,                0.97151,                0.98442,                0.96476,                0.98977,                0.86612,                 0.5737,                0.25715,                0.86994,                0.00802,                0.00802,                0.00802
                    102,                0.71546,                0.40402,                0.96602,                0.98908,                0.96859,                0.99065,                0.86991,                 0.5643,                0.25236,                0.86671,              0.0080002,              0.0080002,              0.0080002
                    103,                0.71622,                0.40418,                0.96628,                 0.9757,                0.96859,                0.98906,                0.86243,                0.58131,                0.26229,                0.87163,              0.0079804,              0.0079804,              0.0079804
                    104,                0.71653,                0.40328,                0.96638,                0.98627,                 0.9714,                0.99183,                0.87996,                0.53684,                0.24413,                0.85502,              0.0079606,              0.0079606,              0.0079606
                    105,                0.71506,                0.40412,                0.96665,                 0.9854,                0.97164,                0.99151,                0.88111,                0.53235,                0.24524,                0.85297,              0.0079408,              0.0079408,              0.0079408
                    106,                0.71417,                0.39766,                0.96232,                 0.9844,                0.97426,                0.99249,                0.88608,                0.52453,                0.23997,                0.84943,               0.007921,               0.007921,               0.007921
                    107,                0.71568,                0.40142,                0.96485,                0.98665,                0.96769,                0.99078,                0.87852,                0.54579,                0.24698,                0.85681,              0.0079012,              0.0079012,              0.0079012
                    108,                0.71392,                0.40576,                0.96261,                 0.9906,                 0.9658,                0.99222,                0.87973,                0.54468,                0.24441,                0.85602,              0.0078814,              0.0078814,              0.0078814
                    109,                0.71685,                0.40246,                0.96836,                0.98618,                0.97775,                0.99237,                 0.8842,                0.53289,                0.23707,                0.85377,              0.0078616,              0.0078616,              0.0078616
                    110,                0.70943,                0.39801,                0.96417,                0.98925,                  0.976,                0.99238,                  0.885,                 0.5275,                0.23624,                0.85312,              0.0078418,              0.0078418,              0.0078418
                    111,                0.70646,                0.39789,                0.95804,                0.98615,                0.97731,                0.99207,                0.88375,                0.52283,                 0.2352,                0.84906,               0.007822,               0.007822,               0.007822
                    112,                0.70775,                0.39947,                0.96155,                0.98886,                0.97295,                 0.9921,                0.88502,                0.52794,                0.23905,                0.85075,              0.0078022,              0.0078022,              0.0078022
                    113,                0.70166,                0.39502,                0.95953,                0.98852,                0.97676,                0.99281,                0.88579,                0.52627,                0.23741,                0.84993,              0.0077824,              0.0077824,              0.0077824
                    114,                 0.7035,                0.39427,                 0.9629,                0.99022,                0.97209,                0.99253,                0.88771,                 0.5233,                0.23589,                 0.8493,              0.0077626,              0.0077626,              0.0077626
                    115,                 0.7067,                0.39936,                0.96598,                0.98405,                0.97862,                0.99313,                0.88777,                0.52306,                0.23532,                0.85087,              0.0077428,              0.0077428,              0.0077428
                    116,                0.70438,                0.39646,                0.96049,                0.98809,                0.97741,                0.99345,                0.88812,                0.52316,                0.23547,                0.84989,               0.007723,               0.007723,               0.007723
                    117,                0.70437,                 0.3971,                0.96149,                0.98893,                0.97471,                0.99296,                0.89081,                0.51644,                0.23208,                0.84684,              0.0077032,              0.0077032,              0.0077032
                    118,                0.70393,                0.39551,                0.96129,                0.98418,                0.97722,                0.99342,                 0.8892,                0.51803,                0.23418,                 0.8468,              0.0076834,              0.0076834,              0.0076834
                    119,                0.70374,                0.39876,                0.95865,                0.98674,                0.97414,                0.99304,                0.89253,                0.50811,                0.22955,                0.84206,              0.0076636,              0.0076636,              0.0076636
                    120,                0.69927,                0.39215,                0.96168,                0.98523,                0.97775,                0.99287,                0.89197,                0.50986,                 0.2298,                 0.8444,              0.0076438,              0.0076438,              0.0076438
                    121,                0.69374,                0.39034,                0.95489,                0.98898,                0.97849,                0.99341,                0.89286,                0.51015,                0.22842,                0.84422,               0.007624,               0.007624,               0.007624
                    122,                0.69591,                 0.3909,                0.95222,                0.98814,                0.98112,                0.99355,                0.89367,                0.50848,                0.22806,                 0.8424,              0.0076042,              0.0076042,              0.0076042
                    123,                0.70072,                0.38838,                0.95392,                 0.9881,                0.97826,                0.99367,                 0.8931,                0.51094,                0.22877,                0.84259,              0.0075844,              0.0075844,              0.0075844
                    124,                0.69391,                0.38893,                0.95415,                0.98972,                  0.976,                0.99362,                0.89399,                0.50452,                0.22594,                0.84023,              0.0075646,              0.0075646,              0.0075646
                    125,                0.69276,                0.39393,                0.95408,                0.98991,                0.97557,                0.99342,                0.89427,                0.50384,                0.22623,                0.84012,              0.0075448,              0.0075448,              0.0075448
                    126,                 0.6907,                0.38716,                0.95763,                0.98949,                0.97906,                0.99363,                0.89356,                0.50389,                0.22646,                 0.8404,               0.007525,               0.007525,               0.007525
                    127,                 0.6947,                0.38957,                0.95776,                0.98947,                0.97949,                0.99373,                0.89401,                 0.5009,                0.22523,                0.84013,              0.0075052,              0.0075052,              0.0075052
                    128,                0.69074,                0.38797,                0.95149,                0.99168,                0.97818,                 0.9935,                0.89512,                0.50101,                0.22428,                0.83993,              0.0074854,              0.0074854,              0.0074854
                    129,                 0.6883,                0.38728,                0.95758,                0.98898,                0.97933,                0.99373,                0.89624,                0.49682,                0.22366,                0.83915,              0.0074656,              0.0074656,              0.0074656
                    130,                0.69055,                0.38956,                0.95069,                0.98984,                0.97809,                0.99374,                 0.8995,                0.49629,                0.22284,                0.83864,              0.0074458,              0.0074458,              0.0074458
                    131,                0.68434,                0.38322,                0.95012,                0.98983,                0.97949,                0.99391,                 0.8978,                0.49718,                0.22087,                0.83936,               0.007426,               0.007426,               0.007426
                    132,                0.68935,                0.38433,                0.95309,                0.99029,                0.97888,                0.99381,                0.89818,                0.49713,                 0.2224,                0.83923,              0.0074062,              0.0074062,              0.0074062
                    133,                0.68879,                 0.3884,                0.95637,                0.99161,                0.97818,                0.99403,                0.89842,                0.49777,                0.22171,                0.83991,              0.0073864,              0.0073864,              0.0073864
                    134,                0.68875,                 0.3858,                0.95548,                0.99074,                0.98016,                0.99402,                0.89828,                0.49812,                0.22181,                0.84008,              0.0073666,              0.0073666,              0.0073666
                    135,                 0.6869,                 0.3844,                 0.9548,                0.99099,                0.97818,                0.99393,                0.89897,                0.49744,                0.22169,                0.84039,              0.0073468,              0.0073468,              0.0073468
                    136,                0.68676,                0.38181,                0.95697,                0.98651,                0.98211,                0.99388,                0.89972,                0.49315,                 0.2196,                 0.8386,               0.007327,               0.007327,               0.007327
                    137,                0.68925,                 0.3844,                0.95404,                0.99073,                0.97871,                0.99401,                0.90072,                0.49084,                0.21939,                0.83819,              0.0073072,              0.0073072,              0.0073072
                    138,                0.68171,                0.37893,                 0.9503,                0.99074,                0.97992,                0.99407,                0.90051,                0.49228,                0.21926,                0.83823,              0.0072874,              0.0072874,              0.0072874
                    139,                 0.6811,                0.37928,                0.94804,                  0.989,                0.98051,                0.99402,                0.90088,                0.49033,                0.21755,                0.83714,              0.0072676,              0.0072676,              0.0072676
                    140,                0.68396,                 0.3793,                 0.9507,                 0.9903,                0.98018,                  0.994,                0.90068,                0.49319,                0.21761,                0.83815,              0.0072478,              0.0072478,              0.0072478
                    141,                0.68046,                0.38374,                0.95044,                0.99044,                0.98124,                0.99407,                0.90055,                0.48945,                0.21653,                0.83693,               0.007228,               0.007228,               0.007228
                    142,                0.67647,                0.37852,                0.95052,                0.99036,                0.98255,                0.99427,                0.90026,                0.48838,                0.21572,                0.83647,              0.0072082,              0.0072082,              0.0072082
                    143,                0.68108,                0.37755,                0.94644,                0.98963,                0.98342,                0.99433,                0.90131,                0.48559,                0.21514,                0.83529,              0.0071884,              0.0071884,              0.0071884
                    144,                0.67788,                0.37735,                0.94808,                0.98919,                0.98386,                0.99427,                 0.8993,                0.48649,                0.21413,                0.83547,              0.0071686,              0.0071686,              0.0071686
                    145,                0.67506,                0.37672,                0.94912,                0.98904,                 0.9841,                0.99428,                0.89997,                0.48672,                0.21397,                0.83558,              0.0071488,              0.0071488,              0.0071488
                    146,                0.68071,                0.37867,                0.94692,                0.99096,                0.98255,                0.99423,                0.90189,                 0.4858,                0.21383,                0.83558,               0.007129,               0.007129,               0.007129
                    147,                 0.6739,                0.37674,                 0.9457,                0.99187,                0.98211,                0.99424,                0.90259,                0.48243,                0.21323,                0.83438,              0.0071092,              0.0071092,              0.0071092
                    148,                0.67052,                0.37086,                0.94122,                0.99106,                0.98211,                0.99405,                  0.903,                0.48165,                0.21257,                0.83386,              0.0070894,              0.0070894,              0.0070894
                    149,                0.67953,                0.38051,                  0.947,                0.98996,                0.98168,                0.99414,                0.90251,                0.48164,                0.21295,                0.83374,              0.0070696,              0.0070696,              0.0070696
                    150,                0.67663,                0.37345,                0.94703,                0.99096,                0.98386,                0.99427,                0.90362,                 0.4793,                0.21222,                0.83333,              0.0070498,              0.0070498,              0.0070498
                    151,                0.67993,                0.37705,                0.94795,                0.99078,                0.98428,                0.99433,                0.90365,                0.47844,                0.21246,                0.83324,                0.00703,                0.00703,                0.00703
                    152,                 0.6679,                0.37298,                0.94863,                0.99006,                0.98473,                0.99433,                0.90545,                0.47809,                0.21197,                 0.8332,              0.0070102,              0.0070102,              0.0070102
                    153,                0.67969,                0.37982,                0.95173,                0.98908,                0.98429,                0.99422,                0.90568,                0.47671,                0.21177,                0.83289,              0.0069904,              0.0069904,              0.0069904
